 part1_pos, part2_pos, part3_pos, part4_pos, part5_pos
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,24.781,103.215
0.0245489,0.0245489,3.34725,26.5805,103.215
0.0245489,0.0245489,3.34725,28.8834,103.215
0.0245489,0.0245489,3.34725,31.6794,103.215
0.0245489,0.0245489,3.34725,34.8665,103.215
0.0245489,0.0245489,5.37976,37.8357,103.215
0.0245489,0.0245489,5.97743,41.1215,103.215
0.0245489,0.0245489,6.44082,44.4072,103.215
0.0245489,0.0245489,6.86771,47.6127,103.215
0.0245489,0.0245489,7.29253,50.7849,103.215
0.0245489,0.0245489,7.83376,53.9634,103.215
0.0245489,0.0245489,8.29179,57.2018,103.215
0.0245489,0.0245489,9.08886,60.4658,103.215
0.0245489,0.0245489,12.5454,63.4789,103.215
0.0245489,0.0245489,19.3498,66.3301,103.215
0.0245489,0.0245489,24.4638,68.9146,103.215
0.0245489,0.0245489,29.4416,70.9492,103.215
0.0245489,0.0245489,34.4345,72.6173,103.215
0.0245489,0.0245489,39.3739,74.0514,103.215
0.0245489,0.0245489,44.0943,75.3048,103.215
0.0245489,0.0245489,48.4262,76.4066,103.215
0.0245489,0.0245489,52.395,77.3801,103.215
0.0245489,0.0245489,56.038,78.2432,103.215
0.0245489,0.0245489,59.3929,79.0131,103.215
0.0245489,0.0245489,62.2895,79.7071,103.215
0.0245489,0.0245489,64.7785,80.3411,103.215
0.0245489,0.0245489,66.9781,80.9284,103.215
0.0245489,0.0245489,68.8293,81.481,103.215
0.0245489,0.0245489,70.3255,82.0083,103.215
0.0245489,0.0245489,71.5813,82.5194,103.215
0.0245489,0.0245489,72.6769,83.0227,103.215
0.0245489,0.0245489,73.6564,83.5239,103.215
0.0245489,0.0245489,74.5431,84.0294,103.215
0.0245489,0.0245489,75.3538,84.5451,103.215
0.0245489,0.0245489,76.1,85.0775,103.215
0.0245489,0.0245489,76.7925,85.6247,103.215
0.0245489,0.0245489,77.4387,86.1847,103.215
0.0245489,0.0245489,78.0446,86.7492,103.215
0.0245489,0.0245489,78.6161,87.3134,103.215
0.0245489,0.0245489,79.1587,87.872,103.229
0.0245489,0.0245489,79.6776,88.4181,103.874
0.0245489,0.0245489,80.1778,88.9454,104.516
0.0245489,0.0245489,80.6639,89.4621,105.147
0.0245489,0.0245489,81.1403,89.9792,105.768
0.0245489,0.0245489,81.6114,90.5026,106.378
0.0245489,3.74187,82.0818,91.0337,106.975
0.0245489,10.1613,82.556,91.5725,107.558
0.0245489,15.3018,83.0392,92.1183,108.127
0.0245489,19.0398,83.5353,92.6688,108.68
0.0245489,22.0573,84.049,93.2224,109.212
0.0245489,24.7234,84.5855,93.7821,109.72
0.0245489,27.1688,85.1499,94.3558,110.21
0.0245489,29.4457,85.739,94.9439,110.68
0.0245489,31.5782,86.3464,95.5582,111.129
0.0245489,33.5822,86.9606,96.2156,111.556
0.0245489,35.4711,87.5729,96.9219,111.957
0.0245489,37.2557,88.1731,97.6593,112.335
0.0245489,38.9456,88.7503,98.4098,112.693
0.0245489,40.5455,89.3045,99.1363,113.031
0.0245489,42.0611,89.8474,99.836,113.348
0.0245489,43.4947,90.3853,100.507,113.646
0.0245489,44.8527,90.9195,101.148,113.924
0.0245489,46.1402,91.4491,101.758,114.182
0.0245489,47.3635,91.9734,102.339,114.424
0.0245489,48.5277,92.4903,102.896,114.65
0.0245489,49.637,92.9989,103.426,114.863
0.0245489,50.6954,93.4986,103.933,115.062
0.0245489,51.7068,93.9948,104.416,115.248
0.0245489,52.6746,94.4873,104.874,115.424
0.0245489,53.6013,94.9768,105.308,115.588
0.0245489,54.4903,95.4676,105.72,115.743
0.0245489,55.3444,95.9648,106.11,115.888
0.0245489,56.1667,96.4697,106.481,116.025
0.0245489,56.9586,96.9784,106.832,116.153
0.0245489,57.7217,97.4845,107.166,116.273
0.0245489,58.4571,97.9841,107.484,116.387
0.0245489,59.1641,98.4726,107.785,116.495
0.0245489,59.8428,98.9418,108.072,116.597
0.0245489,60.4923,99.3943,108.346,116.695
0.0245489,61.1144,99.8306,108.606,116.787
0.0245489,61.7119,100.251,108.855,116.875
0.0245489,62.2864,100.655,109.091,116.959
0.0245489,62.8396,101.044,109.315,117.039
0.0245489,63.3729,101.418,109.529,117.115
0.0245489,63.8873,101.778,109.734,117.188
0.0245489,64.3842,102.124,109.931,117.259
0.0245489,64.8647,102.459,110.119,117.326
0.0245489,65.3299,102.783,110.3,117.39
0.0245489,65.7812,103.095,110.474,117.452
0.0245489,66.2191,103.397,110.641,117.512
0.0245489,66.6431,103.689,110.802,117.569
0.0245489,67.0528,103.972,110.956,117.625
0.0245489,67.4479,104.245,111.105,117.678
0.0245489,67.8283,104.509,111.249,117.729
0.0245489,68.1943,104.764,111.387,117.779
0.0245489,68.5465,105.011,111.52,117.827
2.55132,68.8854,105.249,111.649,117.874
6.43475,69.2119,105.479,111.772,117.919
9.87403,69.5267,105.702,111.892,117.962
12.9488,69.8306,105.917,112.007,118.004
15.6106,70.1244,106.126,112.119,118.045
17.9146,70.4088,106.328,112.227,118.085
19.9644,70.6844,106.523,112.331,118.123
21.8392,70.9517,106.712,112.433,118.16
23.5896,71.2109,106.894,112.531,118.195
25.2448,71.4625,107.071,112.625,118.23
26.8202,71.7063,107.241,112.716,118.263
28.3246,71.9422,107.404,112.804,118.295
29.7614,72.17,107.56,112.888,118.325
31.1299,72.3886,107.709,112.967,118.354
32.428,72.5968,107.85,113.043,118.381
33.6531,72.7935,107.982,113.113,118.405
34.8044,72.9782,108.105,113.179,118.428
35.8824,73.151,108.219,113.239,118.448
36.8882,73.312,108.324,113.294,118.466
37.8235,73.4616,108.42,113.344,118.482
38.6899,73.5996,108.508,113.39,118.496
39.4878,73.7259,108.587,113.43,118.507
40.2107,73.8381,108.658,113.466,118.517
40.8291,73.9268,108.722,113.498,118.525
41.2987,73.9784,108.778,113.526,118.531
41.5978,73.9875,108.827,113.549,118.536
41.7385,73.9592,108.868,113.569,118.538
41.7299,73.8967,108.903,113.584,118.539
41.5181,73.782,108.929,113.596,118.539
40.9815,73.5759,108.949,113.603,118.536
39.9898,73.2372,108.96,113.605,118.531
38.4593,72.7413,108.963,113.602,118.523
36.3627,72.0839,108.955,113.594,118.512
33.6974,71.2705,108.937,113.579,118.497
30.457,70.3084,108.904,113.555,118.477
26.5741,69.2006,108.854,113.52,118.451
21.5698,67.941,108.78,113.47,118.415
11.1321,66.5259,108.671,113.398,118.367
11.1321,64.9561,108.507,113.294,118.306
11.1321,63.198,108.261,113.145,118.231
11.1321,61.1806,107.903,112.94,118.142
11.1321,58.8327,107.417,112.676,118.041
11.1321,56.1064,106.803,112.355,117.929
11.1321,52.9453,106.07,111.982,117.806
11.1321,49.2432,105.225,111.559,117.673
11.1321,44.872,104.272,111.086,117.529
11.1321,39.7135,103.214,110.564,117.374
11.1321,33.6476,102.054,109.992,117.206
11.1321,26.2763,100.787,109.369,117.025
11.1321,15.8517,99.4074,108.689,116.831
11.1321,15.8517,97.9214,107.948,116.623
11.1321,15.8517,96.2149,107.146,116.399
11.1321,15.8517,93.5541,106.278,116.159
11.1321,15.8517,93.5541,105.339,115.901
11.1321,15.8517,93.5541,104.326,115.624
11.1321,15.8517,93.5541,103.236,115.327
11.1321,15.8517,93.5541,102.065,115.009
11.1321,15.8517,93.5541,100.81,114.669
11.1321,15.8517,93.5541,99.4655,114.303
11.1321,15.8517,93.5541,98.0379,113.911
11.1321,15.8517,93.5541,96.393,113.49
11.1321,15.8517,93.5541,95.5667,113.038
11.1321,15.8517,93.5541,95.5667,112.553
11.1321,15.8517,93.5541,95.5667,112.032
11.1321,15.8517,93.5541,95.5667,111.473
11.1321,15.8517,93.5541,95.5667,110.872
11.1321,15.8517,93.5541,95.5667,110.226
11.1321,15.8517,93.5541,95.5667,109.532
11.1321,15.8517,93.5541,95.5667,108.786
11.1321,15.8517,93.5541,95.5667,107.983
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
